Study,GalaxyName,Redshift,Magnification,ResolvedMass,ResolvedMassLowerErr,ResolvedMassUpperErr,IntegratedMass,IntegratedMassLowerErr,IntegratedMassUpperErr
Pérez-González+23,74,0,1,9.950819672,0,0,10.24361022,0,0
Pérez-González+23,75,0,1,10.10655738,0,0,10.25159744,0,0
Pérez-González+23,76,0,1,10.10655738,0,0,10.25159744,0,0
Pérez-González+23,77,0,1,10.20491803,0,0,10.28354633,0,0
Pérez-González+23,78,0,1,10.24590164,0,0,10.32348243,0,0
Pérez-González+23,79,0,1,10.25409836,0,0,10.32348243,0,0
Pérez-González+23,80,0,1,10.36065574,0,0,10.27555911,0,0
Pérez-González+23,81,0,1,10.35245902,0,0,10.22763578,0,0
Pérez-González+23,82,0,1,10.31147541,0,0,10.17172524,0,0
Pérez-González+23,83,0,1,10.27868852,0,0,10.12380192,0,0
Pérez-González+23,84,0,1,10.16393443,0,0,10.13178914,0,0
Pérez-González+23,85,0,1,10.16393443,0,0,10.16373802,0,0
Pérez-González+23,86,0,1,10.16393443,0,0,10.17971246,0,0
Pérez-González+23,87,0,1,10.24590164,0,0,10.24361022,0,0
Pérez-González+23,88,0,1,10.2704918,0,0,10.26757188,0,0
Pérez-González+23,89,0,1,10.30327869,0,0,10.24361022,0,0
Pérez-González+23,90,0,1,10.41803279,0,0,10.37140575,0,0
Pérez-González+23,91,0,1,10.45081967,0,0,10.35543131,0,0
Pérez-González+23,92,0,1,10.46721311,0,0,10.36341853,0,0
Pérez-González+23,93,0,1,10.41803279,0,0,10.31549521,0,0
Pérez-González+23,94,0,1,10.45081967,0,0,10.31549521,0,0
Pérez-González+23,95,0,1,10.49180328,0,0,10.37939297,0,0
Pérez-González+23,96,0,1,10.45081967,0,0,10.44329073,0,0
Pérez-González+23,97,0,1,10.40163934,0,0,10.49920128,0,0
Pérez-González+23,98,0,1,10.51639344,0,0,10.41134185,0,0
Pérez-González+23,99,0,1,10.55737705,0,0,10.43530351,0,0
Pérez-González+23,100,0,1,10.62295082,0,0,10.47523962,0,0
Pérez-González+23,101,0,1,10.62295082,0,0,10.4672524,0,0
Pérez-González+23,102,0,1,10.58196721,0,0,10.53115016,0,0
Pérez-González+23,103,0,1,10.50819672,0,0,10.5071885,0,0
Pérez-González+23,104,0,1,10.50819672,0,0,10.49121406,0,0
Pérez-González+23,105,0,1,10.62295082,0,0,10.60303514,0,0
Pérez-González+23,106,0,1,10.62295082,0,0,10.55511182,0,0
Pérez-González+23,107,0,1,10.58196721,0,0,10.4672524,0,0
Pérez-González+23,108,0,1,10.57377049,0,0,10.57108626,0,0
Pérez-González+23,109,0,1,9.393442623,0,0,9.213258786,0,0
Li+24,1,0,1,9.74,0,0,9.69,0,0
Li+24,2,0,1,9.72,0,0,9.74,0,0
Li+24,3,0,1,9.76,0,0,9.74,0,0
Li+24,4,0,1,9.84,0,0,9.79,0,0
Li+24,5,0,1,10.18,0,0,10.21,0,0
Li+24,6,0,1,10.26,0,0,10.27,0,0
Li+24,7,0,1,10.31,0,0,10.34,0,0
Li+24,8,0,1,10.36,0,0,10.25,0,0
Li+24,9,0,1,10.57,0,0,10.54,0,0
Li+24,10,0,1,10.65,0,0,10.62,0,0
Li+24,11,0,1,11.07,0,0,10.98,0,0
Li+24,12,0,1,10.03,0,0,9.97,0,0
Li+24,13,0,1,9.93,0,0,10.01,0,0
Li+24,14,0,1,9.88,0,0,9.94,0,0
